Артикул ;Наименование;Цена 0;Цена 1;Цена 2;Цена 3;Цена 4;Цена 5;Количество;Характеристики (json)
 19501-2XL             ;Жилет  с капюш. меланж 1РОСТ 2XL;810;689;672;648;624;608;1;
 19501-3XL;Жилет  с капюш. меланж 1РОСТ 3XL;810;689;672;648;624;608;1;
 19501-L                   ;Жилет  с капюш. меланж 1РОСТ L;810;689;672;648;624;608;1;
 19501-S                   ;Жилет  с капюш. меланж 1РОСТ S;810;689;672;648;624;608;1;
 19501-XL                   ;Жилет  с капюш. меланж 1РОСТ XL;810;689;672;648;624;608;1;
 19501-M                   ;Жилет  с капюш. меланж 1РОСТ М;810;689;672;648;624;608;1;
100001-2XL               ;Футболка MODERN МУЖ 155г О-ворот бежевый XXL;240;204;199;192;185;180;1;
100001-3XL               ;Футболка MODERN МУЖ 155г О-ворот бежевый XXXL;300;255;249;240;231;225;1;
100001-L                 ;Футболка MODERN МУЖ 155г О-ворот бежевый L;240;204;199;192;185;180;1;
100001-M                 ;Футболка MODERN МУЖ 155г О-ворот бежевый М;240;204;199;192;185;180;1;
100001-S                 ;Футболка MODERN МУЖ 155г О-ворот бежевый S;240;204;199;192;185;180;1;
100001-XL                ;Футболка MODERN МУЖ 155г О-ворот бежевый XL;240;204;199;192;185;180;1;
100002-2XL               ;Футболка MODERN МУЖ 155г О-ворот белый 2ХL;230;196;191;184;177;173;1;
100002-3XL               ;Футболка MODERN МУЖ 155г О-ворот белый 3ХL;280;238;232;224;216;210;1;
100002-4XL               ;Футболка MODERN МУЖ 155г О-ворот белый 4ХL;345;293;286;276;266;259;1;
100002-5XL               ;Футболка MODERN МУЖ 155г О-ворот белый 5ХL;345;293;286;276;266;259;1;
100002-L                 ;Футболка MODERN МУЖ 155г О-ворот белый L;230;196;191;184;177;173;1;
100002-M                 ;Футболка MODERN МУЖ 155г О-ворот белый М;230;196;191;184;177;173;1;
100002-S                 ;Футболка MODERN МУЖ 155г О-ворот белый S;230;196;191;184;177;173;1;
100002-XL                ;Футболка MODERN МУЖ 155г О-ворот белый ХL;230;196;191;184;177;173;1;
100003-2XL               ;Футболка MODERN МУЖ 155г О-ворот бирюзовый XXL (F1);240;204;199;192;185;180;1;
100003-3XL               ;Футболка MODERN МУЖ 155г О-ворот бирюзовый XXXL (F1);300;255;249;240;231;225;1;
100003-L                 ;Футболка MODERN МУЖ 155г О-ворот бирюзовый L (F1);240;204;199;192;185;180;1;
100003-M                 ;Футболка MODERN МУЖ 155г О-ворот бирюзовый M (F1);240;204;199;192;185;180;1;
100003-S                 ;Футболка MODERN МУЖ 155г О-ворот бирюзовый S (F1);240;204;199;192;185;180;1;
100003-XL                ;Футболка MODERN МУЖ 155г О-ворот бирюзовый XL (F1);240;204;199;192;185;180;1;
100004-2XL               ;Футболка MODERN МУЖ 155г О-ворот бордовый XXL;240;204;199;192;185;180;1;
100004-3XL               ;Футболка MODERN МУЖ 155г О-ворот бордовый XXXL;300;255;249;240;231;225;1;
100004-L                 ;Футболка MODERN МУЖ 155г О-ворот бордовый L;240;204;199;192;185;180;1;
100004-M                 ;Футболка MODERN МУЖ 155г О-ворот бордовый M;240;204;199;192;185;180;1;
100004-S                 ;Футболка MODERN МУЖ 155г О-ворот бордовый S;240;204;199;192;185;180;1;
100004-XL                ;Футболка MODERN МУЖ 155г О-ворот бордовый XL;240;204;199;192;185;180;1;
100005-2XL(1)               ;Футболка MODERN МУЖ 155г О-ворот голубой 2XL (1);240;204;199;192;185;180;1;
100005-2XL(2)              ;Футболка MODERN МУЖ 155г О-ворот голубой 2XL (2);240;204;199;192;185;180;1;
100005-3XL(1)               ;Футболка MODERN МУЖ 155г О-ворот голубой 3XL (1);300;255;249;240;231;225;1;
100005-L (2)                ;Футболка MODERN МУЖ 155г О-ворот голубой L (2);240;204;199;192;185;180;1;
100005-M (2)                ;Футболка MODERN МУЖ 155г О-ворот голубой M (2);240;204;199;192;185;180;1;
100005-3XL(2) ;Футболка MODERN МУЖ 155г О-ворот голубой 3XL (2);300;255;249;240;231;225;1;
